year,audio_feature,value
1990,time_signature,3.978723404255319
1991,time_signature,3.9775280898876404
1992,time_signature,3.968421052631579
1993,time_signature,3.967391304347826
1994,time_signature,3.946236559139785
1995,time_signature,3.935483870967742
1996,time_signature,4.0
1997,time_signature,3.988888888888889
1998,time_signature,3.9310344827586206
1999,time_signature,3.967391304347826
2000,time_signature,4.0
2001,time_signature,3.978494623655914
2002,time_signature,3.978494623655914
2003,time_signature,3.957894736842105
2004,time_signature,3.9368421052631577
2005,time_signature,3.9791666666666665
2006,time_signature,4.010309278350515
2007,time_signature,4.01063829787234
2008,time_signature,3.979591836734694
2009,time_signature,3.979381443298969
2010,time_signature,4.052083333333333
2011,time_signature,4.01063829787234
2012,time_signature,3.979591836734694
2013,time_signature,4.020833333333333
2014,time_signature,3.99
2015,time_signature,3.9797979797979797
2016,time_signature,3.98989898989899
2017,time_signature,3.989795918367347
2018,time_signature,3.9797979797979797
2019,time_signature,4.02020202020202
2020,time_signature,3.9393939393939394
2021,time_signature,3.9494949494949494
